fldgrpcd,annual_agb_recruitment_prop,annual_agb_mortality_prop,annual_agb_removal_prop,mean_annual_growth_carbon_tons_per_ac_prop,annual_agb_net_change_prop,annual_sound_volume_recruitment_prop,annual_sound_volume_mortality_prop,annual_sound_volume_removal_prop,mean_annual_growth_value_per_ac_prop,annual_sound_volume_net_change_prop
100,0.0033064916315990647,0.00878067118197113,0.008952343854392496,0.023911478913055145,0.006519491133088959,0.006997209246085514,0.020204455566079246,0.02016507603002096,0.02633022359093027,0.009566162902213363
120,0.008379900019989856,0.014135726000882249,0.009134720716685637,0.023320191230308627,3.74867436794168e-4,0.016557204640913002,0.029072413064612987,0.018649676811623214,0.01889544014557182,-0.0021549840386592372
140,0.018575770714304548,0.008665763766167251,0.03976426150141262,0.0478817852273262,0.0032892752138451425,0.01785021281112397,0.008606162325314094,0.04015397974334939,0.04888891641333526,0.044593708734314244
150,0,0,0.19230769230769237,0,-0.19230769230769237,0,0,0.19230769230769224,0,0
160,0.02134593374254621,0.008705514175011326,0.04824334558784288,0.06157476091954281,0.005872567976335823,0.021095213355940567,0.008832954006898267,0.04893335771218117,0.06474910996414768,0.05903405501798702
170,0.013515252797270649,0.008053878820826785,0.003921441477525236,0.03945623379877747,0.028602813875482185,0.014121396271497107,0.008086090873417119,0.004430931092074071,0.04101104160851972,0.03399793623984777
180,0.00740580300660087,0.010124862262865601,0,0.02192831537453477,0.009215300887504742,0.007527568504669775,2.583767716849988,0.0058824844711244245,0.025361475368807486,0.016773706559452674
200,0.025187808311484875,0.0390371604863394,0,0.03018688572472064,0.00290478597057085,0.04228792076931791,166.08501902196838,0.014096673032598074,0.02472514210946928,-0.02119519407263628
220,0.0010660439436985254,0.01349481436550867,0.010292407886018137,0.016446115660240845,-0.007336412668555567,0.0010013435307680047,0.0825204535337042,0.011520471292274969,0.016626560723677512,0.0048491282888794025
240,0.0014570691790453053,0.00726617591219632,0,0.0131322930781632,0.006042442020733399,0.0013858965644173084,Inf,0,0.013353998722186143,0.006918670751088129
260,0.0010038809327741194,0.013793723657903115,0.0015994285107437914,0.015177393928476689,-1.2332321204080052e-4,9.448341993622058e-4,Inf,Inf,0.015964034576420448,0.003947697443988144
280,0.0030785382542696566,0.020193619709697033,0.002807669742177294,0.0150797475783146,-0.007467301677102997,0.002908993822117505,Inf,Inf,0.015292855099133655,-0.0017760649377344532
300,0.0013948379686900506,0.008123692185995261,0.008180400353870108,0.019277163853868438,0.0031595104723043626,0.0013042935828562626,Inf,Inf,0.019942526825573112,0.014848565372885918
320,0.002463792945052256,0.011856647971560752,0.01252132083150972,0.018002253802223714,-0.006165909605256572,0.0025667124186868717,Inf,Inf,0.018845829444796857,0.008996782708190794
340,0.001458442224395441,0.005061257686876847,0.008640747089485848,0.021090073935152175,0.007155003599723719,0.0012544407435463015,0.004508492426969254,0.00837006015325344,0.021695618370898905,0.019539681834565985
360,0.0015194238598667314,0.005661496387884451,0.0014243789045098162,0.012329239160166334,0.00536805331539711,0.001478881200333086,Inf,0.0014626788386347923,0.015020972187001512,0.010609391233222116
370,0.0010342695644118987,0.011929698741915493,0.003907429262780987,0.016195892792806848,4.646952536669486e-4,9.12384191807074e-4,0.011938130414920487,0.00414834442959523,0.01695713183512372,0.007111122668163364
380,0.007232909763748324,0.011775506543944627,0.006661106422857128,0.03394583816709934,0.015058061823175997,0.01801360122797644,0.03657782936269138,0.01830552604608194,0.03261448376903486,0.0024832385108122393
390,0.009759335125060007,0.0035187453631162343,0,0.0404197689475191,0.04368382558264439,0.02127027031799978,0.02212045856806629,0,0.032950247340654396,0.02717064563929439
400,0.00720509456005663,0.011301766107867747,0.017906688810766635,0.03147649594218915,0.0039147587807155625,0.007958551825726773,0.01333501624993973,0.021410556963530794,0.03466084471468865,0.02598203504260733
500,0.0034543086067598122,0.010767683091276278,0.01105586776638831,0.02487412371578216,0.004426363969083108,0.004331008244540976,0.013837659221892607,0.015957677860523982,0.026436687910700182,0.016782933552368727
600,0.005410518214920123,0.013344753763750064,0.014925138000570989,0.025515896217012387,-0.003968518645886513,0.00476571301472088,0.013221652661096829,0.015290720170827402,0.026179854214328814,0.01941725045229531
700,0.005899803341035275,0.016674446804455168,0.006636885763654558,0.027853254575198945,0.004794893931164904,0.005942148118139595,0.020406916205626367,0.007735880690465177,0.029084614940975955,0.016126326258447267
800,0.0029837374186253386,0.00981091164405891,0.010742593525134413,0.0213964201545705,0.0010620803293066184,0.007170750153809214,0.027583631512883174,0.02913408027959147,0.018077637364010503,-0.0042380292717053665
900,0.011839907874476918,0.019530228352398198,0.01826736810067505,0.028091328594535593,-0.008803540191193112,0.012958136357257493,0.03456451281120271,0.022984292588394226,0.028903449116579945,0.011404500946127258
910,0.00481630185114087,0.0120994297077468,0.013176596140802627,0.029107210408131533,0.0046431674396910875,0.004222750748249708,0.011857207233204815,0.013138053513922778,0.03015986456614562,0.024094941505418643
920,0.002482572282241892,0.01485300394161855,0.0012602735424672691,0.012725314541976944,-0.002961582584166877,0.0021748631197430947,0.016076460111538727,0.0013534896354444105,0.015015725189783278,0.003349664168911337
940,0.0019485468331506752,0.010539643672599953,0.0046482096673682825,0.018507099023001204,0.003496954819970467,0.0017555750641767567,0.00999766407923833,0.005003650854307767,0.019744933463573214,0.013127122839058019
960,0.007533700696138254,0.012322412605644206,0.01592466936038252,0.01735813614162865,-0.01177716243513044,0.008665812288757345,0.023496494272836663,0.016647588089769308,0.01939230586803326,0.003647012506442221
970,0.005098097246682161,0.008425967663721593,0.006200522074154398,0.014565304245412827,-2.1359200016621667e-4,0.005228356040929115,6.390978236397951,0.008170151563657092,0.016633034090115916,0.011528004880441013
980,0.006302611388232283,0.014088947856542567,7.57146045957894e-4,0.006646379610763399,-0.013890648948220206,0.0061697157129921906,0.014397597221907997,8.564344154210388e-4,0.0053735057437555335,-0.004286828006528876
990,0.023201118252872056,0.026240495080885533,0.037032568407008054,0.03176661384594065,-0.03404929426398058,0.02097097796327824,0.02840619765383949,0.040640546973502695,0.03136387563019975,0.0181482128205012
999,1.9962165108064302e-4,8.353395667670978e-5,0.26839829963025275,0.0010149625171018235,-0.2700934476646639,1.562659626424493e-4,8.948421637413736e-5,0.27272968402974296,9.583313494215076e-4,9.297556869599947e-4
